Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.2_fixed_10_traps,RandomAgent_solo,player,20,10,-117,136
3.2_fixed_10_traps,RandomAgent_solo,player,20,2,-56,73
3.2_fixed_10_traps,RandomAgent_solo,player,20,3,-165,170
3.2_fixed_10_traps,RandomAgent_solo,player,20,4,-103,115
3.2_fixed_10_traps,RandomAgent_solo,player,20,5,-98,118
3.2_fixed_10_traps,RandomAgent_solo,player,20,6,-1000,1000
3.2_fixed_10_traps,RandomAgent_solo,player,20,7,-79,104
3.2_fixed_10_traps,RandomAgent_solo,player,20,8,-61,76
3.2_fixed_10_traps,RandomAgent_solo,player,20,9,-81,99
3.3_dynamic_no_traps,AgentA_solo,player,1,1,268,0
3.3_dynamic_no_traps,AgentA_solo,player,1,10,263,0
3.3_dynamic_no_traps,AgentA_solo,player,1,2,262,0
3.3_dynamic_no_traps,AgentA_solo,player,1,3,252,0
3.3_dynamic_no_traps,AgentA_solo,player,1,4,252,0
3.3_dynamic_no_traps,AgentA_solo,player,1,5,247,0
3.3_dynamic_no_traps,AgentA_solo,player,1,6,262,0
3.3_dynamic_no_traps,AgentA_solo,player,1,7,269,0
3.3_dynamic_no_traps,AgentA_solo,player,1,8,279,0
3.3_dynamic_no_traps,AgentA_solo,player,1,9,252,0
3.3_dynamic_no_traps,AgentA_solo,player,20,1,44,0
3.3_dynamic_no_traps,AgentA_solo,player,20,10,55,0
3.3_dynamic_no_traps,AgentA_solo,player,20,2,33,0
3.3_dynamic_no_traps,AgentA_solo,player,20,3,59,0
3.3_dynamic_no_traps,AgentA_solo,player,20,4,49,0
3.3_dynamic_no_traps,AgentA_solo,player,20,5,56,0
3.3_dynamic_no_traps,AgentA_solo,player,20,6,63,0
3.3_dynamic_no_traps,AgentA_solo,player,20,7,46,0
3.3_dynamic_no_traps,AgentA_solo,player,20,8,57,0
3.3_dynamic_no_traps,AgentA_solo,player,20,9,60,0
3.3_dynamic_no_traps,AgentB_solo,player,1,1,258,0
3.3_dynamic_no_traps,AgentB_solo,player,1,10,272,0
3.3_dynamic_no_traps,AgentB_solo,player,1,2,235,0
3.3_dynamic_no_traps,AgentB_solo,player,1,3,251,0
3.3_dynamic_no_traps,AgentB_solo,player,1,4,274,0
3.3_dynamic_no_traps,AgentB_solo,player,1,5,272,0
3.3_dynamic_no_traps,AgentB_solo,player,1,6,271,0
3.3_dynamic_no_traps,AgentB_solo,player,1,7,254,0
3.3_dynamic_no_traps,AgentB_solo,player,1,8,265,0
3.3_dynamic_no_traps,AgentB_solo,player,1,9,285,0
3.3_dynamic_no_traps,AgentB_solo,player,20,1,44,0
3.3_dynamic_no_traps,AgentB_solo,player,20,10,60,0
3.3_dynamic_no_traps,AgentB_solo,player,20,2,45,0
3.3_dynamic_no_traps,AgentB_solo,player,20,3,57,0
3.3_dynamic_no_traps,AgentB_solo,player,20,4,57,0
3.3_dynamic_no_traps,AgentB_solo,player,20,5,44,0
3.3_dynamic_no_traps,AgentB_solo,player,20,6,54,0
3.3_dynamic_no_traps,AgentB_solo,player,20,7,52,0
3.3_dynamic_no_traps,AgentB_solo,player,20,8,52,0
3.3_dynamic_no_traps,AgentB_solo,player,20,9,49,0
3.3_dynamic_no_traps,all_together,rnd,1,1,51,0
3.3_dynamic_no_traps,all_together,agA,1,1,218,0
3.3_dynamic_no_traps,all_together,agB,1,1,237,0
3.3_dynamic_no_traps,all_together,rnd,1,10,45,0
3.3_dynamic_no_traps,all_together,agB,1,10,214,0
